utc_date,timestamp,open,high,low,close,adj_close,volume,target
2024-01-16,1705392000,1.589,1.589,1.49,1.57,1.57,5000,-1
2024-01-17,1705478400,1.5,1.588,1.5,1.51,1.51,17800,1
2024-01-18,1705564800,1.58,1.59,1.49,1.535,1.535,10100,0
2024-01-19,1705651200,1.54,1.6,1.48,1.54,1.54,9300,-1
2024-01-22,1705910400,1.51,1.54,1.49,1.51,1.51,4600,1
2024-01-23,1705996800,1.59,1.59,1.55,1.55,1.55,7500,0
2024-01-24,1706083200,1.55,1.62,1.545,1.55,1.55,13000,1
2024-01-25,1706169600,1.551,1.64,1.55,1.585,1.585,47800,1
2024-01-26,1706256000,1.6,1.64,1.59,1.64,1.64,8100,-1
2024-01-29,1706515200,1.6,1.65,1.55,1.6,1.6,17500,0
2024-01-30,1706601600,1.64,1.648,1.554,1.6,1.6,3900,-1
2024-01-31,1706688000,1.58,1.61,1.57,1.57,1.57,2000,-1
2024-02-01,1706774400,1.57,1.61,1.54,1.54,1.54,10800,1
2024-02-02,1706860800,1.55,1.6,1.54,1.58,1.58,3800,0
2024-02-05,1707120000,1.541,1.576,1.541,1.576,1.576,700,-1
2024-02-06,1707206400,1.57,1.58,1.54,1.56,1.56,13000,1
2024-02-07,1707292800,1.55,1.571,1.54,1.571,1.571,11300,0
2024-02-08,1707379200,1.63,1.63,1.57,1.57,1.57,9200,1
2024-02-09,1707465600,1.556,1.63,1.55,1.58,1.58,3200,-1
2024-02-12,1707724800,1.58,1.58,1.51,1.52,1.52,56300,0
2024-02-13,1707811200,1.52,1.583,1.52,1.52,1.52,4800,1
2024-02-14,1707897600,1.53,1.54,1.52,1.54,1.54,6100,-1
2024-02-15,1707984000,1.52,1.535,1.51,1.51,1.51,7500,1
2024-02-16,1708070400,1.54,1.54,1.52,1.52,1.52,8900,-1
