Date 	Open 	High 	Low 	Close 	Adj Close 	Volume
Sep 19, 2022 	26.5000 	26.5000 	23.5000 	23.5000 	23.5000 	11,500
Sep 16, 2022 	23.7000 	26.5500 	23.7000 	26.0000 	26.0000 	14,050
Sep 15, 2022 	25.5000 	26.6000 	24.3000 	25.2000 	25.2000 	8,780
Sep 14, 2022 	25.4000 	26.3000 	23.7000 	25.6000 	25.6000 	25,780
Sep 13, 2022 	24.0000 	27.4000 	22.7000 	26.4000 	26.4000 	31,020
Sep 12, 2022 	28.0000 	28.5000 	25.0000 	25.2000 	25.2000 	38,660
Sep 9, 2022 	29.0000 	30.4400 	27.4000 	28.1000 	28.1000 	51,340
Sep 8, 2022 	29.9000 	31.7000 	28.6000 	30.3000 	30.3000 	83,330
Sep 7, 2022 	41.4000 	42.5000 	30.1000 	31.1000 	31.1000 	1,477,750
Sep 6, 2022 	28.3000 	34.4000 	28.2000 	34.4000 	34.4000 	23,870
Sep 2, 2022 	31.3000 	31.3000 	27.0000 	28.1000 	28.1000 	6,530
Sep 1, 2022 	35.5000 	36.0000 	30.2000 	30.6000 	30.6000 	7,380
Aug 31, 2022 	32.0000 	36.2000 	32.0000 	36.1000 	36.1000 	9,150
Aug 30, 2022 	33.9000 	34.1000 	29.5000 	32.0000 	32.0000 	12,280
Aug 29, 2022 	27.1000 	33.7000 	27.1000 	32.1000 	32.1000 	23,850
Aug 26, 2022 	28.2700 	29.2000 	26.0000 	26.7900 	26.7900 	3,460
Aug 25, 2022 	28.8000 	30.3000 	28.6000 	29.1000 	29.1000 	1,730
Aug 24, 2022 	28.5000 	30.1800 	28.1000 	28.9000 	28.9000 	1,040
Aug 23, 2022 	28.1000 	28.5000 	25.1000 	28.5000 	28.5000 	2,580
Aug 22, 2022 	27.1000 	28.8000 	26.2000 	27.9000 	27.9000 	2,200
Aug 19, 2022 	30.7000 	30.7200 	26.7000 	27.4000 	27.4000 	5,090
Aug 18, 2022 	31.8000 	33.6400 	29.7000 	31.0000 	31.0000 	7,760
Aug 17, 2022 	26.2000 	30.8000 	25.0000 	30.0000 	30.0000 	19,290
Aug 16, 2022 	24.6000 	28.6000 	24.1500 	25.0000 	25.0000 	11,160
Aug 15, 2022 	23.0000 	24.8000 	22.4000 	23.8000 	23.8000 	4,960
Aug 12, 2022 	20.7000 	22.4500 	20.7000 	22.3000 	22.3000 	2,260
Aug 11, 2022 	19.8000 	21.1000 	19.6000 	20.8000 	20.8000 	3,050
Aug 10, 2022 	19.6000 	20.5000 	19.6000 	20.5000 	20.5000 	1,290
Aug 9, 2022 	19.9000 	20.2500 	18.1000 	19.0000 	19.0000 	4,290
Aug 8, 2022 	21.1000 	22.4800 	19.5000 	20.2000 	20.2000 	8,160
Aug 5, 2022 	23.3000 	23.3000 	21.8000 	21.8000 	21.8000 	1,710
Aug 4, 2022 	22.0000 	22.2000 	21.7000 	22.0000 	22.0000 	2,270
Aug 3, 2022 	21.4000 	22.1000 	20.4000 	21.6000 	21.6000 	1,970
Aug 2, 2022 	20.8000 	21.4600 	20.0000 	21.3000 	21.3000 	2,670
Aug 1, 2022 	21.5000 	22.1000 	20.6000 	20.9000 	20.9000 	1,210
Jul 29, 2022 	21.7000 	22.1000 	20.8000 	21.5000 	21.5000 	2,870
Jul 28, 2022 	21.2300 	22.4000 	21.2300 	21.9000 	21.9000 	2,540
Jul 27, 2022 	23.3000 	23.4000 	20.6000 	21.7000 	21.7000 	4,230
Jul 26, 2022 	24.5000 	24.6000 	22.8000 	23.6000 	23.6000 	4,290
Jul 25, 2022 	22.5000 	25.7000 	22.3000 	24.6000 	24.6000 	7,760
Jul 22, 2022 	22.7000 	22.7000 	21.6000 	22.1000 	22.1000 	6,930
Jul 21, 2022 	18.9000 	21.8000 	18.7000 	21.0000 	21.0000 	7,630
Jul 20, 2022 	19.3000 	19.6000 	18.8800 	19.2000 	19.2000 	2,370
Jul 19, 2022 	19.1000 	20.0000 	18.6800 	19.5000 	19.5000 	3,140
Jul 18, 2022 	17.9300 	19.7000 	17.9300 	18.7000 	18.7000 	2,590
Jul 15, 2022 	18.4000 	19.0000 	17.5000 	17.9000 	17.9000 	3,230
Jul 14, 2022 	18.6100 	18.6100 	17.2000 	18.4000 	18.4000 	2,340
Jul 13, 2022 	18.7000 	18.9000 	18.1000 	18.7000 	18.7000 	1,640
Jul 12, 2022 	19.3000 	19.3000 	17.2000 	18.7000 	18.7000 	4,800
Jul 11, 2022 	19.0000 	19.0500 	18.3000 	18.3000 	18.3000 	2,100
